Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
Електронне урядування задля підзвітності влади та участі громади (EGAP),2 квартал 2021,,е-демократія,,43,Представники громадськості,7,Школа Громадського бюджету
Електронне урядування задля підзвітності влади та участі громади (EGAP),2 квартал 2021,,"Адміністративні послуги
цифрові інструменти",,102,представники ГУ Казначейства Одеської області,29,Цифрові інструменти в управлінні особистою ефективністю
Електронне урядування задля підзвітності влади та участі громади (EGAP),2 квартал 2021,,"Адміністративні послуги
цифрові інструменти",,100,представники ГУ Казначейства Одеської області,29,Цифрові інструменти в управлінні особистою ефективністю
Електронне урядування задля підзвітності влади та участі громади (EGAP),2 квартал 2021,,"Адміністративні послуги
цифрові інструменти",,100,представники ГУ Казначейства Одеської області,30,Цифрові інструменти в управлінні особистою ефективністю
Електронне урядування задля підзвітності влади та участі громади (EGAP),2 квартал 2021,,"Адміністративні послуги
цифрові інструменти",,100,представники ГУ Казначейства Одеської області,28,Цифрові інструменти в управлінні особистою ефективністю
Електронне урядування задля підзвітності влади та участі громади (EGAP),2 квартал 2021,,"Адміністративні послуги
е-демократія, відкриті дані",,102,"Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування
службовці прокуратури області",2,Цифрова грамотність та Основи персональної цифрової безпеки
Електронне урядування задля підзвітності влади та участі громади (EGAP),2 квартал 2021,,"Адміністративні послуги
е-демократія, відкриті дані",,,"Посадові особи місцевого самоврядування керівного рівня
Посадові особи місцевого самоврядування
державні службовці ОДА та РДА",2,Цифрова грамотність
Електронне урядування задля підзвітності влади та участі громади (EGAP),2 квартал 2021,,"Адміністративні послуги
е-демократія",,55,Публічні службовці ОМС,1,
