Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",4 квартал 2020,,Освіта,,23,Медіа,22,"Тренінг у формі інтерактивної гри ""Оптимізація шкільної мережі"""
"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",1 квартал 2021,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,25,Голови органів місцевого самоврядування та їх заступники,4,Цінності членської організації
"Проєкт ""Підтримка децентралізації в Україні - Фаза ІІ"" (SKL)",1 квартал 2021,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,,Голови органів місцевого самоврядування та їх заступники,24,Цінності членської організації
