Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Вінницька,Літинська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Вінницька,Літинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Вендичанська,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Яришівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Яришівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Яришівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,5
Вінницька,Мурованокуриловецька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Вінницька,Немирівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Немирівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Вінницька,Брацлавська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Брацлавська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Райгородська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Райгородська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Райгородська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,7
Вінницька,Оратівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Оратівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Піщанська,"Програма ""U-LEAD з Європою""",Громада з нуля,9
Вінницька,Студенянська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Студенянська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Вінницька,Студенянська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,16
Вінницька,Погребищенська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Погребищенська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Вінницька,Теплицька,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Теплицька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,8
Вінницька,Соболівська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
