Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,1 квартал 2021,,,Управління місцевим соціально-економічним розвитком,,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",13,
Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,1 квартал 2021,,Соціальний захист,Управління місцевим соціально-економічним розвитком; Просторове планування; Перерозподіл і управління власністю; Управління бюджетами і фінансами; Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,200,Посадові особи місцевого самоврядування керівного рівня; Посадові особи місцевого самоврядування; Представники громадськості,13,"Інтеграція підхіду, заснованого на правах людини та гендерній рівності, в діяльность громад"
