Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,1 квартал 2021,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,50,Посадові особи місцевого самоврядування керівного рівня; Посадові особи місцевого самоврядування,73,Онлайн-тренінг «Механізм формування та діяльності громадських рад»
Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,1 квартал 2021,,Освіта,Шкільний громадський бюджет,52,школярі та школярки,63,Серія тренінгів зі Шкільного громадського бюджету та основ громадської участі для Вінницької ОТГ
Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,1 квартал 2021,,"Освіта; Культура, молодь, спорт і дозвілля",,150,"школярі та школярки, вчителі",1,Серія тренінгів зі Шкільного громадського бюджету та основ громадської участі для Мукачівської ОТГ
Проєкт Ради Європи «Сприяння участі громадян у демократичному процесі прийняття рішень в Україні»,1 квартал 2021,,"Освіта; Культура, молодь, спорт і дозвілля",,63,"школярі та школярки, вчителі",1,Серія тренінгів зі Шкільного громадського бюджету та основ громадської участі для Нововодолазької ОТГ
