Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Луганська,Марківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Луганська,Міловська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Луганська,Старобільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Львівська,Бродівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Львівська,Глинянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Львівська,Кам’янка-Бузька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Львівська,Рава-Руська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Львівська,Щирецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Львівська,Мурованська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Львівська,Рудківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Веселинівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,8
Миколаївська,Казанківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Миколаївська,Софіївська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Снігурівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Миколаївська,Горохівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Одеська,Кілійська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Татарбунарська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Полтавська,Кременчуцька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Полтавська,Білоцерківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Полтавська,Диканська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Полтавська,Піщанська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Рівненська,Гощанська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Рівненська,Деражненська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,10
Рівненська,Клеванська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Рівненська,Дядьковицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Рівненська,Старосільська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Рівненська,Радивилівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Сумська,Роменська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Сумська,Чернеччинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Сумська,Синівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Сумська,Степанівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Сумська,Боромлянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,8
Тернопільська,Чортківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Тернопільська,Золотопотіцька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Тернопільська,Трибухівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,9
Тернопільська,Гусятинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Тернопільська,Підволочиська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Харківська,Ізюмська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,8
Харківська,Вовчанська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Харківська,Кегичівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Харківська,Мереф’янська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Херсонська,Новокаховська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Херсонська,Музиківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,9
Херсонська,Верхньорогачицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Херсонська,Генічеська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Херсонська,Нижньосірогозька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Херсонська,Ювілейна,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,8
Хмельницька,Нетішинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Хмельницька,Сатанівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,8
Хмельницька,Дунаєвецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Черкаська,Шевченківська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Черкаська,Чорнобаївська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Черкаська,Іркліївська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Черкаська,Медведівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,11
Черкаська,Матусівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Чернівецька,Вижницька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Чернівецька,Вашківецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Чернівецька,Заставнівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Чернівецька,Вікнянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Чернівецька,Кіцманська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Чернівецька,Мамаївська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,5
Чернівецька,Новоселицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Чернівецька,Путильська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,4
Чернівецька,Великокучурівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Чернівецька,Рукшинська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Чернігівська,Батуринська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,9
Чернігівська,Бобровицька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,7
Чернігівська,Борзнянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Чернігівська,Ічнянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Чернігівська,Носівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,9
Одеська,Авангардівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,6
Тернопільська,Бережанська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Запорізька,Берестівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Івано-Франківська,Букачівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Івано-Франківська,Верхнянська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
